team,where,date,round,season,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Leganés,home,2017-08-18,1,2017-2018,Miguel Ángel Guerrero,9,ESP,FW,27-037,90,0,0,0,0,4,1,0,0,37,1,1,1,0.3,0.3,0.0,2,1,20,26,76.9,1,15,1,2,0,199,29,16,19,84.2,3,5,60.0,0,0,,0.0,0,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,0,0,1,2,0,0,0,0,19,18,5,37,0.0,2,100.0,86,35,1,0,2,0,27,10,0,2,2,3,0,0,0,4,1,1,50.0
Leganés,home,2017-08-18,1,2017-2018,Alexander,11,ARG,LW,28-309,90,0,0,0,0,2,0,0,0,36,1,1,2,0.1,0.1,0.2,5,0,19,27,70.4,2,18,0,1,1,280,102,14,16,87.5,3,4,75.0,2,3,66.7,0.5,3,2,2,1,23,3,2,0,0,3,0,1,0,1,0,1,2,1,0,1,0,0,1,0.0,1,0,2,2,1,0,1,4,13,20,3,36,100.0,0,0.0,112,32,0,0,3,3,25,5,0,3,1,0,0,0,0,3,0,0,
Leganés,home,2017-08-18,1,2017-2018,Omar Ramos,23,ESP,RW,29-204,64,0,0,0,0,1,0,0,0,38,2,1,1,0.0,0.0,0.0,5,0,17,23,73.9,5,22,0,3,1,388,188,9,12,75.0,5,6,83.3,3,5,60.0,0.1,2,4,3,0,19,4,1,0,2,3,1,2,0,1,0,0,0,2,1,0,1,1,2,50.0,1,0,1,3,0,0,1,6,14,18,0,38,33.3,2,66.7,121,23,0,0,7,1,24,5,0,1,3,0,0,0,0,4,1,0,100.0
Leganés,home,2017-08-18,1,2017-2018,Erik Morán,4,ESP,DM,26-085,26,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,10,14,71.4,1,4,0,0,0,148,36,7,8,87.5,3,4,75.0,0,1,0.0,0.0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,9,3,0,15,,0,,21,1,0,0,0,0,10,0,0,1,0,0,0,0,0,1,0,0,
Leganés,home,2017-08-18,1,2017-2018,Javier Eraso,17,ESP,"AM,RW",27-149,69,0,0,0,0,0,0,0,0,33,2,2,0,0.0,0.0,0.0,1,0,14,23,60.9,2,15,1,0,0,188,42,10,12,83.3,4,6,66.7,0,3,0.0,0.0,0,2,0,0,20,2,0,0,0,2,0,1,0,1,0,1,0,1,1,1,0,1,1,100.0,0,0,0,4,0,0,0,5,18,10,3,33,,0,,65,19,1,0,6,1,17,6,0,2,1,0,0,0,0,8,1,0,100.0
Leganés,home,2017-08-18,1,2017-2018,Nabil El Zhar,10,MAR,RW,30-356,21,0,0,0,0,1,0,0,0,18,1,1,0,0.1,0.1,0.1,2,0,9,10,90.0,2,10,0,2,0,117,43,8,9,88.9,1,1,100.0,0,0,,0.0,1,2,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,2,0,0,0,2,10,6,2,18,0.0,2,100.0,43,12,0,0,1,0,12,1,0,1,1,0,0,0,0,0,0,1,0.0
Leganés,home,2017-08-18,1,2017-2018,Gabriel,8,BRA,"DM,AM",23-334,90,1,0,0,0,5,2,0,0,67,3,0,0,0.9,0.9,0.1,3,0,30,51,58.8,5,33,0,4,3,441,177,15,21,71.4,10,16,62.5,2,5,40.0,0.1,1,6,2,0,49,2,2,0,1,2,0,0,0,0,0,0,2,2,1,2,0,0,0,,0,0,0,3,1,0,1,8,36,24,4,67,75.0,1,25.0,117,39,0,0,2,4,53,5,0,2,3,0,0,0,0,5,8,5,61.5
Leganés,home,2017-08-18,1,2017-2018,Rubén Pérez,21,ESP,DM,28-114,90,0,0,0,0,1,0,0,0,61,4,1,3,0.0,0.0,0.0,1,0,34,52,65.4,6,20,0,1,1,679,268,12,18,66.7,17,21,81.0,4,11,36.4,0.0,0,8,0,0,52,0,0,0,1,0,0,0,0,0,0,0,1,4,2,2,0,2,5,40.0,3,1,2,5,0,0,3,17,43,2,0,61,100.0,0,0.0,137,55,0,0,0,2,27,0,0,2,1,0,0,0,0,9,5,1,83.3
Leganés,home,2017-08-18,1,2017-2018,Diego Rico,15,ESP,LB,24-176,90,0,0,0,0,0,0,0,0,71,3,4,0,0.0,0.0,0.0,0,0,40,62,64.5,3,26,1,1,1,703,320,22,28,78.6,15,24,62.5,3,6,50.0,0.0,0,2,1,0,44,17,1,0,1,1,16,0,0,0,0,1,3,0,3,0,0,1,1,100.0,0,0,0,7,2,0,1,29,31,11,0,71,100.0,0,0.0,102,35,2,0,0,0,28,3,0,2,1,0,0,1,0,9,1,1,50.0
Leganés,home,2017-08-18,1,2017-2018,Martín Mantovani,5,ARG,CB,33-042,90,0,0,0,0,0,0,0,0,47,1,2,0,0.0,0.0,0.0,0,0,27,35,77.1,4,16,0,0,0,524,222,10,10,100.0,16,18,88.9,1,7,14.3,0.0,0,2,0,0,34,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,100.0,0,0,0,3,9,0,9,28,19,0,0,47,,0,,73,19,0,0,1,0,18,0,0,1,0,0,0,0,0,3,6,2,75.0
