team,where,date,round,season,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Bayern Munich,home,2018-08-24,1,2018-2019,Robert Lewandowski,9,POL,FW,30-003,90,1,0,1,1,4,0,0,0,25,0,1,0,1.0,0.3,0.4,3,0,12,17,70.6,1,15,1,0,0,114,24,9,11,81.8,2,2,100.0,0,0,,0.2,2,1,1,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,1,0,0,0,1,9,15,6,24,,0,,99,77,3,0,0,0,20,4,0,0,1,1,0,0,0,0,1,3,25.0
Bayern Munich,home,2018-08-24,1,2018-2019,Franck Ribéry,7,FRA,LM,35-139,82,0,0,0,0,0,0,0,0,47,0,1,1,0.0,0.0,0.1,3,1,31,39,79.5,3,27,5,4,2,449,81,14,17,82.4,10,10,100.0,3,3,100.0,0.2,2,1,1,0,38,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,,0,0,1,1,0,0,0,3,22,23,7,47,50.0,2,50.0,224,126,5,3,2,2,38,10,0,1,3,0,1,0,0,3,0,0,
Bayern Munich,home,2018-08-24,1,2018-2019,James Rodríguez,11,COL,AM,27-043,8,0,0,0,0,1,1,0,0,6,0,0,0,0.3,0.3,0.1,3,0,5,5,100.0,2,7,1,0,0,137,36,1,1,100.0,3,3,100.0,1,1,100.0,0.1,1,1,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,3,1,6,,0,,55,22,0,0,0,1,7,1,0,0,1,0,0,0,0,0,0,1,0.0
Bayern Munich,home,2018-08-24,1,2018-2019,Thiago Alcántara,6,ESP,"DM,CM",27-135,90,0,0,0,0,2,0,0,0,83,1,3,0,0.1,0.1,0.0,2,0,62,76,81.6,9,36,0,0,0,1316,360,20,23,87.0,31,35,88.6,10,16,62.5,0.1,0,7,1,0,68,8,5,0,1,5,0,3,3,0,0,0,1,1,0,1,0,0,1,0.0,1,0,0,4,0,0,0,13,58,13,0,83,,0,,227,100,0,0,1,1,56,3,0,1,4,0,0,0,0,11,1,1,50.0
Bayern Munich,home,2018-08-24,1,2018-2019,Thomas Müller,25,GER,"LW,CM",28-345,90,1,1,0,0,1,1,1,0,64,2,0,1,0.3,0.3,0.7,3,1,44,53,83.0,4,21,2,2,1,741,96,19,22,86.4,18,20,90.0,4,5,80.0,0.2,3,5,1,0,46,5,1,0,0,1,2,0,0,0,0,2,0,1,0,2,0,0,1,0.0,1,0,1,2,0,0,0,0,38,27,6,64,50.0,1,50.0,131,80,2,0,4,3,53,9,0,2,1,0,0,0,0,2,2,2,50.0
Bayern Munich,home,2018-08-24,1,2018-2019,Kingsley Coman,29,FRA,RM,22-072,44,0,0,0,0,1,1,0,0,24,0,0,0,0.5,0.5,0.0,4,1,20,23,87.0,0,20,8,2,2,266,32,12,13,92.3,6,6,100.0,1,2,50.0,0.0,0,1,0,0,23,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,12,11,3,24,100.0,0,0.0,200,105,1,3,0,0,26,7,0,0,4,1,0,0,0,1,0,1,0.0
Bayern Munich,home,2018-08-24,1,2018-2019,Arjen Robben,10,NED,"RW,RM",34-213,46,1,0,0,0,3,1,0,0,19,1,0,0,0.3,0.3,0.0,0,0,7,14,50.0,3,7,1,0,0,143,59,3,6,50.0,3,4,75.0,1,2,50.0,0.0,0,1,1,0,12,2,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,,0,0,0,1,0,0,0,2,9,8,2,19,,0,,71,44,1,0,1,0,13,5,0,0,1,1,0,0,0,3,0,0,
Bayern Munich,home,2018-08-24,1,2018-2019,Javi Martínez,8,ESP,DM,29-356,66,0,0,0,0,0,0,0,0,44,4,1,1,0.0,0.0,0.0,1,0,32,35,91.4,4,15,0,0,0,539,181,14,14,100.0,11,11,100.0,3,4,75.0,0.0,1,4,0,0,34,1,1,0,1,0,0,0,0,0,0,0,1,2,1,3,0,1,2,50.0,1,1,0,5,2,0,1,11,32,1,0,44,,0,,55,35,0,0,0,0,29,0,0,1,1,0,0,0,0,2,2,0,100.0
Bayern Munich,home,2018-08-24,1,2018-2019,Leon Goretzka,18,GER,DM,23-199,24,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,0,5,0,0,0,116,41,3,3,100.0,4,4,100.0,0,0,,0.0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,1,0,9,,0,,31,19,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,1,0.0
Bayern Munich,home,2018-08-24,1,2018-2019,David Alaba,27,AUT,LB,26-061,90,0,0,0,0,1,0,0,0,83,0,0,0,0.0,0.0,0.0,2,1,61,80,76.3,7,35,2,2,2,995,431,32,37,86.5,23,30,76.7,5,10,50.0,0.0,0,6,1,0,65,15,2,0,1,4,13,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,14,53,17,2,83,100.0,0,0.0,200,100,2,1,2,0,57,1,0,0,0,1,0,0,0,2,1,2,33.3
Bayern Munich,home,2018-08-24,1,2018-2019,Jérôme Boateng,17,GER,CB,29-355,90,0,0,0,0,1,0,0,0,65,1,1,0,0.1,0.1,0.0,1,0,46,57,80.7,0,27,0,0,0,915,260,14,14,100.0,27,29,93.1,4,11,36.4,0.0,0,0,0,0,53,4,4,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0.0,1,0,0,2,2,0,3,32,32,2,2,65,,0,,173,99,0,0,1,0,45,0,0,0,2,0,0,0,0,3,2,3,40.0
Bayern Munich,home,2018-08-24,1,2018-2019,Niklas Süle,4,GER,CB,22-355,90,0,0,0,0,0,0,0,0,78,0,0,1,0.0,0.0,0.0,0,0,71,75,94.7,3,35,0,0,0,1608,575,19,19,100.0,37,38,97.4,15,18,83.3,0.0,0,3,0,0,74,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,2,0,2,35,43,0,0,78,,0,,177,104,0,0,0,0,63,0,0,0,0,0,0,0,0,5,0,0,
Bayern Munich,home,2018-08-24,1,2018-2019,Joshua Kimmich,32,GER,RB,23-197,90,0,1,0,0,0,0,0,0,102,2,2,0,0.0,0.0,0.5,7,2,77,93,82.8,6,43,5,1,0,1280,482,32,35,91.4,37,44,84.1,6,10,60.0,0.4,3,2,2,0,71,21,6,0,0,6,12,3,1,1,0,1,1,0,1,0,1,1,1,100.0,0,0,0,4,4,0,6,24,51,27,0,102,0.0,1,100.0,289,143,6,0,0,1,67,3,0,0,3,0,0,0,0,8,0,1,0.0
Bayern Munich,home,2018-08-24,1,2018-2019,Manuel Neuer,1,GER,GK,32-150,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,1,0,43,46,93.5,1,30,0,0,0,1072,699,9,9,100.0,22,22,100.0,12,15,80.0,0.0,0,1,0,0,43,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,33,47,1,0,0,48,,0,,182,131,0,0,0,0,33,0,0,0,0,0,0,0,0,2,0,0,
Hoffenheim,away,2018-08-24,1,2018-2019,Ádám Szalai,28,HUN,FW,30-258,90,1,0,0,0,1,1,0,0,20,0,0,1,0.1,0.1,0.0,2,1,11,17,64.7,0,9,1,1,1,97,6,7,11,63.6,1,3,33.3,0,0,,0.0,1,0,0,0,14,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,14,6,2,20,100.0,0,0.0,37,15,0,1,1,2,17,5,0,2,0,1,0,0,0,1,3,2,60.0
