team,where,date,round,season,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Monaco,home,2017-08-04,1,2017-2018,Kylian Mbappé,10,FRA,"FW,LM",18-227,74,0,0,0,0,3,2,0,0,39,1,1,0,0.2,0.2,0.0,3,1,19,29,65.5,3,27,6,6,4,252,44,10,14,71.4,5,8,62.5,1,3,33.3,0.0,0,2,0,0,29,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,,0,0,0,2,0,0,0,1,17,22,11,39,66.7,2,33.3,182,125,3,5,1,1,33,12,0,0,1,2,0,0,0,4,0,0,
Monaco,home,2017-08-04,1,2017-2018,Allan Saint-Maximin,12,FRA,RM,20-145,16,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.3,2,0,3,4,75.0,0,5,1,0,0,49,13,2,3,66.7,1,1,100.0,0,0,,0.1,1,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,4,0,6,,0,,62,33,0,1,0,1,6,1,0,0,1,1,0,0,0,1,0,2,0.0
Monaco,home,2017-08-04,1,2017-2018,Radamel Falcao,9,COL,FW,31-175,86,1,0,0,0,4,1,0,0,32,0,0,0,0.9,0.9,0.0,0,0,20,25,80.0,1,24,1,2,1,262,27,13,16,81.3,4,4,100.0,2,2,100.0,0.0,0,0,0,0,21,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,13,17,6,32,50.0,1,50.0,124,29,0,2,2,1,25,6,0,2,1,1,0,0,0,2,0,2,0.0
Monaco,home,2017-08-04,1,2017-2018,Youri Tielemans,17,BEL,FW,20-089,4,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.1,1,0,4,4,100.0,1,3,0,0,0,48,9,1,1,100.0,0,0,,1,1,100.0,0.0,1,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,5,,0,,21,5,0,0,0,1,4,0,0,1,1,0,0,0,0,1,0,0,
Monaco,home,2017-08-04,1,2017-2018,Thomas Lemar,27,FRA,"LM,RM",21-265,90,0,0,0,0,4,1,0,0,67,1,1,2,0.2,0.2,0.3,4,0,42,56,75.0,6,44,2,5,1,731,229,22,26,84.6,12,15,80.0,5,12,41.7,0.4,3,5,2,0,46,10,3,0,2,8,1,6,1,0,1,0,0,1,0,0,1,0,1,0.0,1,0,2,2,1,0,1,5,32,33,1,67,20.0,4,80.0,267,118,0,0,0,1,45,8,0,0,3,0,0,0,0,9,1,0,100.0
Monaco,home,2017-08-04,1,2017-2018,Fabinho,2,BRA,CM,23-285,90,0,0,0,0,0,0,0,0,78,5,0,0,0.0,0.0,0.1,5,3,58,70,82.9,9,50,1,3,1,1149,360,21,25,84.0,28,33,84.8,9,10,90.0,0.0,1,8,0,0,67,2,2,0,0,0,0,0,0,0,0,1,0,3,1,3,1,2,2,100.0,0,0,0,5,0,0,2,12,57,10,0,78,33.3,2,66.7,230,130,0,0,0,1,51,1,0,1,3,0,0,0,0,4,11,3,78.6
Monaco,home,2017-08-04,1,2017-2018,João Moutinho,8,POR,CM,30-330,90,0,2,0,0,0,0,1,0,83,2,0,2,0.0,0.0,0.4,6,2,65,78,83.3,9,46,1,1,1,1281,350,21,25,84.0,30,34,88.2,11,13,84.6,0.4,3,14,1,0,69,7,5,0,1,5,0,2,2,0,0,2,0,1,0,2,0,1,2,50.0,1,0,2,2,0,0,0,4,65,15,1,83,100.0,0,0.0,184,128,1,0,1,0,61,2,0,1,1,0,0,0,0,10,2,3,40.0
Monaco,home,2017-08-04,1,2017-2018,Rony Lopes,20,POR,RM,21-219,53,0,0,0,0,1,0,0,0,31,0,1,0,0.0,0.0,0.1,4,0,22,27,81.5,4,22,3,0,0,316,85,14,16,87.5,7,9,77.8,0,1,0.0,0.1,2,2,3,0,26,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,1,0,0,0,2,9,20,1,31,,0,,130,82,0,1,0,0,27,7,0,2,2,0,0,0,0,2,0,1,0.0
Monaco,home,2017-08-04,1,2017-2018,Guido Carrillo,11,ARG,"FW,RM",26-071,37,0,0,0,0,1,1,0,0,19,0,0,0,0.3,0.3,0.0,2,0,7,13,53.8,0,5,0,1,1,43,1,4,5,80.0,0,0,,0,2,0.0,0.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,2,0,2,2,9,8,2,19,100.0,0,0.0,7,1,0,0,0,0,13,1,0,0,1,0,0,0,0,3,1,1,50.0
Monaco,home,2017-08-04,1,2017-2018,Jorge,6,BRA,LB,21-129,90,0,1,0,0,0,0,0,0,68,5,1,0,0.0,0.0,0.5,1,0,46,56,82.1,5,33,4,2,1,738,254,29,30,96.7,14,21,66.7,3,4,75.0,0.0,1,2,0,0,44,12,2,0,2,3,10,0,0,0,0,0,1,4,2,2,1,1,2,50.0,1,0,0,6,4,0,1,15,39,14,0,68,50.0,1,50.0,193,111,1,0,1,0,37,5,0,1,2,1,0,0,0,4,3,2,60.0
