team,where,date,round,season,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arsenal,home,2017-08-11,1,2017-2018,Alexandre Lacazette,9,FRA,"FW,LW,LM",26-075,90,1,0,0,0,3,2,0,0,34,2,0,1,0.3,0.3,0.4,6,2,20,24,83.3,3,19,1,1,1,263,42,14,16,87.5,5,6,83.3,0,0,,0.2,3,0,2,1,19,4,0,0,0,2,0,0,0,0,0,1,1,1,0,1,1,1,3,33.3,2,0,1,2,1,0,1,2,9,23,6,34,100.0,0,0.0,50,27,0,1,2,2,25,10,0,2,2,2,0,0,0,2,1,2,33.3
Arsenal,home,2017-08-11,1,2017-2018,Danny Welbeck,23,ENG,"AM,FW",26-258,74,1,0,0,0,3,1,0,0,31,1,1,0,1.0,1.0,0.4,4,0,16,21,76.2,2,18,3,2,2,190,33,13,16,81.3,2,2,100.0,0,0,,0.2,2,0,2,0,21,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0.0,1,0,0,2,1,0,1,6,7,18,5,31,100.0,0,0.0,130,47,1,2,1,4,22,6,0,1,1,1,0,0,0,2,1,1,50.0
Arsenal,home,2017-08-11,1,2017-2018,Theo Walcott,14,ENG,RW,28-148,16,0,0,0,0,0,0,0,0,3,0,1,0,0.0,0.0,0.0,1,0,1,2,50.0,0,2,0,0,0,11,0,1,1,100.0,0,1,0.0,0,0,,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,1,0,2,0,3,,0,,12,11,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,
Arsenal,home,2017-08-11,1,2017-2018,Mesut Özil,11,GER,"AM,RM",28-300,90,0,0,0,0,3,0,0,0,95,1,0,1,0.1,0.1,0.6,10,0,70,86,81.4,6,69,3,2,2,981,163,45,48,93.8,18,21,85.7,3,6,50.0,0.2,6,4,2,0,81,3,2,0,1,3,0,1,0,1,0,2,5,0,1,0,0,0,1,0.0,1,0,1,1,1,0,1,9,34,53,3,95,100.0,0,0.0,390,132,7,0,3,3,83,17,0,0,2,1,0,0,0,2,0,0,
Arsenal,home,2017-08-11,1,2017-2018,Granit Xhaka,29,SUI,"CM,DM",24-318,90,0,2,0,0,4,1,0,0,114,1,1,1,0.1,0.1,0.2,12,2,86,106,81.1,20,80,4,1,1,1845,598,35,39,89.7,34,41,82.9,17,26,65.4,0.2,5,20,5,1,94,12,3,1,3,6,1,8,3,2,0,0,0,0,0,1,0,0,1,0.0,1,0,1,2,1,1,1,13,67,34,0,114,100.0,0,0.0,331,200,4,0,1,0,89,2,0,1,0,0,0,0,0,8,0,2,0.0
Arsenal,home,2017-08-11,1,2017-2018,Mohamed Elneny,35,EGY,CM,25-031,66,0,1,0,0,1,0,0,0,82,4,0,2,0.0,0.0,0.1,3,1,65,72,90.3,4,57,0,0,0,949,232,36,41,87.8,24,26,92.3,2,2,100.0,0.2,2,6,1,0,71,1,1,0,0,0,0,0,0,0,0,0,0,2,3,0,1,3,3,100.0,0,0,2,4,1,0,3,15,48,19,0,82,,0,,225,97,1,0,1,2,64,2,0,0,0,0,0,0,0,3,0,1,0.0
Arsenal,home,2017-08-11,1,2017-2018,Aaron Ramsey,8,WAL,"DM,CM",26-228,24,1,0,0,0,4,1,0,0,19,0,0,0,0.4,0.4,0.0,1,0,9,12,75.0,1,13,0,0,0,131,37,3,6,50.0,5,5,100.0,0,0,,0.1,1,0,1,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,6,10,3,19,,0,,63,24,0,0,1,0,14,2,0,0,2,0,0,0,0,2,2,0,100.0
Arsenal,home,2017-08-11,1,2017-2018,Alex Oxlade-Chamberlain,15,ENG,"WB,RB",23-361,90,0,0,0,0,6,2,0,0,84,3,3,1,0.2,0.2,0.1,4,0,48,67,71.6,6,54,9,9,8,985,289,23,27,85.2,14,18,77.8,11,16,68.8,0.0,2,7,2,1,58,8,0,0,3,7,8,0,0,0,0,1,4,3,2,1,0,2,2,100.0,0,0,1,6,5,0,1,21,34,34,2,84,88.9,1,11.1,575,348,8,2,1,1,51,7,0,1,1,0,0,0,0,10,3,2,60.0
Arsenal,home,2017-08-11,1,2017-2018,Héctor Bellerín,24,ESP,"WB,LB",22-145,90,0,0,0,0,1,1,0,0,79,3,0,0,0.3,0.3,0.0,6,1,61,70,87.1,3,51,1,3,1,922,231,37,41,90.2,22,24,91.7,2,4,50.0,0.0,2,3,0,0,60,10,0,0,0,0,10,0,0,0,0,0,0,2,2,1,0,0,0,,0,0,0,3,1,0,2,19,26,35,5,79,33.3,2,66.7,218,97,2,1,1,2,53,11,0,1,0,0,0,0,0,7,3,4,42.9
Arsenal,home,2017-08-11,1,2017-2018,Sead Kolašinac,31,BIH,CB,24-052,90,0,1,0,0,1,1,0,0,81,4,1,0,0.0,0.0,0.6,3,2,59,73,80.8,9,49,7,1,1,860,423,33,37,89.2,18,23,78.3,5,6,83.3,0.4,1,8,0,0,69,3,3,0,0,2,0,0,0,0,0,1,2,4,1,3,0,3,3,100.0,0,0,0,5,3,0,3,16,52,15,4,81,100.0,0,0.0,414,334,5,1,0,0,49,1,0,1,1,0,0,0,0,7,0,0,
