team,where,date,round,season,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Fiorentina,home,2020-09-19,1,2020-2021,Franck Ribéry,7,FRA,FW,37-165,78,0,0,0,0,1,0,0,0,38,0,0,1,0.1,0.1,0.0,3,0,25,28,89.3,9,30,2,3,0,436,148,17,19,89.5,5,6,83.3,3,3,100.0,0.1,1,5,5,0,25,3,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,9,29,3,38,0.0,3,100.0,186,114,4,0,3,4,31,7,0,1,2,1,0,0,0,1,0,1,0.0
Fiorentina,home,2020-09-19,1,2020-2021,Dušan Vlahović,9,SRB,FW,20-235,12,0,0,0,0,0,0,0,0,4,0,1,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,26,0,1,2,50.0,1,1,100.0,0,0,,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,1,0,0,0,0,1,3,0,4,,0,,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,
Fiorentina,home,2020-09-19,1,2020-2021,Christian Kouamé,11,CIV,FW,22-288,87,0,0,0,0,3,2,0,0,14,1,0,0,0.9,0.9,0.0,0,0,6,9,66.7,0,8,0,1,1,74,0,5,8,62.5,1,1,100.0,0,0,,0.0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,0,1,0,0,0,0,5,9,5,14,100.0,0,0.0,42,10,1,0,1,3,14,3,0,0,2,1,0,0,0,0,3,1,75.0
Fiorentina,home,2020-09-19,1,2020-2021,Patrick Cutrone,63,ITA,FW,22-260,3,0,0,0,0,2,1,0,0,7,0,0,0,0.1,0.1,0.0,0,0,3,3,100.0,1,4,0,0,0,35,5,3,3,100.0,0,0,,0,0,,0.0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,4,1,7,,0,,32,5,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0.0
Fiorentina,home,2020-09-19,1,2020-2021,Gaetano Castrovilli,10,ITA,CM,23-215,90,1,0,0,0,3,2,0,0,43,0,0,2,0.5,0.5,0.0,1,0,23,32,71.9,7,27,3,0,0,364,104,15,18,83.3,5,7,71.4,2,3,66.7,0.0,0,3,1,0,29,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,0,0,2,0,0,0,0,2,13,28,4,43,,0,,141,84,3,1,2,3,33,7,0,3,2,0,0,0,0,4,0,1,0.0
Fiorentina,home,2020-09-19,1,2020-2021,Alfred Duncan,8,GHA,CM,27-193,90,0,0,0,0,1,0,0,0,58,0,1,1,0.0,0.0,0.0,5,0,40,51,78.4,6,38,0,0,0,873,244,14,16,87.5,17,21,81.0,9,11,81.8,0.0,1,3,0,0,46,4,3,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0.0,2,0,1,1,0,0,0,9,33,16,0,58,,0,,142,31,2,0,1,1,37,0,0,0,2,0,0,0,0,8,1,0,100.0
Fiorentina,home,2020-09-19,1,2020-2021,Giacomo Bonaventura,5,ITA,CM,31-028,78,0,0,0,0,3,0,0,0,41,2,1,1,0.1,0.1,0.0,4,0,24,32,75.0,4,31,0,0,0,419,77,10,11,90.9,10,11,90.9,3,5,60.0,0.1,1,2,1,0,27,4,2,0,0,2,0,2,0,1,0,1,1,2,1,1,0,1,1,100.0,0,0,1,3,1,0,1,3,14,25,4,41,,0,,123,40,2,0,1,2,30,6,0,2,3,0,0,0,0,5,0,0,
Fiorentina,home,2020-09-19,1,2020-2021,Borja Valero,6,ESP,CM,35-251,12,0,0,0,0,0,0,0,0,16,0,2,0,0.0,0.0,0.0,1,0,11,12,91.7,2,13,2,1,1,181,52,3,3,100.0,5,5,100.0,2,3,66.7,0.0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,0,0,2,12,2,0,16,100.0,0,0.0,68,38,0,0,0,0,13,0,0,1,2,0,0,0,0,1,0,0,
Fiorentina,home,2020-09-19,1,2020-2021,Cristiano Biraghi,3,ITA,WB,28-018,87,0,0,0,0,0,0,1,0,77,0,0,1,0.0,0.0,0.6,4,0,52,72,72.2,6,47,7,0,0,856,222,31,36,86.1,15,23,65.2,5,10,50.0,0.5,3,5,3,3,59,12,1,0,0,13,9,2,0,2,0,1,0,0,0,0,0,0,0,,0,0,1,0,0,1,0,7,23,47,4,77,,0,,272,181,5,1,1,1,57,19,0,2,0,2,0,0,0,4,0,1,0.0
Fiorentina,home,2020-09-19,1,2020-2021,Lorenzo Venuti,23,ITA,WB,25-160,3,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,7,9,77.8,0,4,0,0,0,111,44,3,3,100.0,1,2,50.0,1,1,100.0,0.0,1,0,1,1,8,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,6,0,9,,0,,14,7,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,
Fiorentina,home,2020-09-19,1,2020-2021,Federico Chiesa,25,ITA,WB,22-330,82,0,1,0,0,2,0,0,0,67,4,1,2,0.1,0.1,0.6,3,1,39,49,79.6,5,43,7,3,1,680,164,23,28,82.1,10,12,83.3,5,6,83.3,0.1,3,2,1,1,40,9,2,0,2,5,7,0,0,0,0,0,2,1,1,1,2,1,5,20.0,4,1,1,5,2,0,3,14,16,39,7,67,33.3,2,66.7,287,202,3,4,3,2,42,6,0,1,2,2,0,0,0,6,1,0,100.0
Fiorentina,home,2020-09-19,1,2020-2021,Pol Lirola,21,ESP,WB,23-037,8,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,1,0,6,6,100.0,0,5,0,0,0,69,29,6,6,100.0,0,0,,0,0,,0.0,1,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,1,0,0,0,0,5,4,0,9,,0,,34,5,0,1,2,1,4,3,0,0,0,0,0,0,0,1,0,0,
Fiorentina,home,2020-09-19,1,2020-2021,Martín Cáceres,22,URU,CB,33-165,90,0,0,0,0,0,0,0,0,51,1,2,0,0.0,0.0,0.4,2,1,42,44,95.5,7,30,0,0,0,952,301,11,13,84.6,25,25,100.0,6,6,100.0,0.4,1,5,0,0,42,2,2,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,0,3,2,0,2,18,27,6,2,51,,0,,162,105,0,0,0,2,35,0,0,0,1,0,0,0,0,7,3,1,75.0
Fiorentina,home,2020-09-19,1,2020-2021,Federico Ceccherini,17,ITA,CB,28-131,90,0,0,0,0,0,0,1,0,57,2,1,1,0.0,0.0,0.0,0,0,41,49,83.7,3,37,0,0,0,994,410,6,7,85.7,24,25,96.0,11,16,68.8,0.0,0,3,0,0,44,5,4,0,0,0,1,0,0,0,0,0,1,1,0,2,0,1,1,100.0,0,1,0,3,2,0,6,26,31,1,1,57,,0,,170,66,0,0,1,0,36,0,0,3,2,0,0,0,0,5,3,2,60.0
Fiorentina,home,2020-09-19,1,2020-2021,Nikola Milenković,4,SRB,CB,22-343,90,0,0,0,0,0,0,1,0,68,2,6,0,0.0,0.0,0.0,0,0,55,58,94.8,4,35,0,0,0,1258,412,16,17,94.1,29,31,93.5,9,9,100.0,0.0,0,9,0,0,51,7,4,0,6,0,3,0,0,0,0,0,0,0,1,1,0,2,2,100.0,0,0,0,8,0,0,0,22,37,9,0,68,,0,,179,98,2,0,2,0,37,0,0,4,1,0,0,0,0,5,0,1,0.0
Fiorentina,home,2020-09-19,1,2020-2021,Bartłomiej Drągowski,69,POL,GK,23-031,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,20,24,83.3,0,17,0,0,0,528,317,2,2,100.0,10,10,100.0,8,12,66.7,0.0,0,0,0,0,19,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,23,26,0,0,0,26,,0,,50,21,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,
Torino,away,2020-09-19,1,2020-2021,Andrea Belotti,9,ITA,FW,26-274,90,0,0,0,0,2,0,0,0,22,2,0,2,0.1,0.1,0.0,3,0,7,13,53.8,1,9,1,1,0,78,18,4,5,80.0,2,5,40.0,0,0,,0.0,0,1,1,0,11,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,,0,1,1,2,2,0,3,5,11,6,0,22,0.0,1,100.0,46,28,0,0,1,0,17,4,0,3,7,1,0,0,0,2,2,0,100.0
Torino,away,2020-09-19,1,2020-2021,Simone Zaza,11,ITA,FW,29-086,90,0,0,0,0,2,2,0,0,25,3,1,0,0.1,0.1,0.0,0,0,11,15,73.3,0,15,1,0,0,154,14,6,6,100.0,5,6,83.3,0,2,0.0,0.0,0,0,0,0,14,1,0,0,1,0,1,0,0,0,0,0,1,1,0,3,0,0,0,,0,0,0,4,0,0,0,2,18,6,0,25,,0,,64,22,1,0,5,1,20,3,0,4,2,0,0,0,0,2,1,5,16.7
Torino,away,2020-09-19,1,2020-2021,Álex Berenguer,21,ESP,AM,25-077,68,0,0,0,0,1,1,0,0,33,1,0,1,0.4,0.4,0.0,1,0,21,25,84.0,5,14,3,1,1,349,94,13,15,86.7,7,8,87.5,1,1,100.0,0.0,0,3,0,0,23,2,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,1,1,100.0,0,0,1,1,1,0,2,2,16,15,1,33,100.0,0,0.0,150,110,2,0,1,1,24,3,0,0,2,0,0,0,0,1,1,0,100.0
