Stadium,Club,Location,Opened,Closed,Capacity,Pitch length m,Pitch width m,latitude,longitude
Anfield,Liverpool,Liverpool,1884,,61276,101,68,53°25′51″N,002°57′39″W
Arsenal Stadium(also known as Highbury),Arsenal,London,1913,2006,38419,,,51°33′28″N,000°06′10″W
Ayresome Park,Middlesbrough,Middlesbrough,1903,1995,26667,,,54°33′51″N,001°14′49″W
Baseball Ground,Derby County,Derby,1892,2004,18300,,,52°54′17″N,001°28′07″W
bet365 StadiumFormerly Britannia Stadium,Stoke City,Stoke-on-Trent,1997,,30089,,,52°59′18″N,002°10′32″W
Bloomfield Road,Blackpool,Blackpool,1899,,16220,,,53°48′17″N,3°2′53″W
Boleyn Ground(also known as Upton Park),West Ham United,London,1904,2016,35345,,,51°31′55″N,000°02′22″E
Boundary Park,Oldham Athletic,Oldham,1904,,13559,,,53°33′19″N,002°07′43″W
Bramall Lane,Sheffield United,Sheffield,1855,,32050,101,68,53°22′13″N,001°28′15″W
Brentford Community Stadium,Brentford,London,2020,,17250,105,68,51°29′26.97″N,0°17′19.32″W
Burnden Park,Bolton Wanderers,Bolton,1895,1997,22616,,,53°34′08″N,002°24′58″W
Cardiff City Stadium,Cardiff,Cardiff,2009,,33280,,,51°28′22″N,003°12′11″W
Carrow Road,Norwich,Norwich,1935,,27359,105,68,52°37′20″N,001°18′33″E
City Ground,Nottingham Forest,Nottingham,1898,,30404,105,68,52°56′24″N,001°07′58″W
City of Manchester Stadium,Manchester City,Manchester,2003[17],,53400,105,68,53°28′59″N,002°12′01″W
County Ground,Swindon Town,Swindon,1895,,14700,,,51°33′52″N,001°46′14″W
Craven Cottage,Fulham,London,1896,,24500,100,65,51°28′30″N,000°13′18″W
Dean Court,Bournemouth,Bournemouth,1910,,11307,105,68,50°44′07″N,1°50′18″W
The Dell,Southampton,Southampton,1898,2001,15200,,,50°54′53″N,001°24′47″W
DW Stadium  Formerly JJB Stadium,Wigan Athletic,Wigan,1999,,25138,,,53°32′51″N,002°39′15″W
Elland Road,Leeds,Leeds,1897,,37608,105,68,53°46′40″N,001°34′20″W
Emirates Stadium,Arsenal,London,2006,,60704,105,68,51°33′18″N,000°06′31″W
Ewood Park,Blackburn Rovers,Blackburn,1890,,31367,,,53°43′43″N,002°29′21″W
Falmer Stadium,Brighton & Hove Albion,Falmer,2011,,31876,105,68,50°51′42.56″N,00°04′59.8″W
Filbert Street,Leicester,Leicester,1891,2002,22000,,,52°37′25″N,001°08′26″W
Fratton Park,Portsmouth,Portsmouth,1898,,20978,,,50°47′47″N,001°03′50″W
Goodison Park,Everton,Liverpool,1892,,39414,100.48,68,53°26′20″N,002°57′59″W
The Hawthorns,West Brom,West Bromwich,1900,,26445,,,52°30′33″N,001°57′50″W
Highfield Road,Coventry City,Coventry,1899,2005,23489,,,52°24′43″N,001°29′24″W
