season,venue_date,venue_time,round,attendance_value,referee,home_manager,away_manager,home_captain,away_captain,formation_home,formation_away,home_possession,away_possession,home_lineup,away_lineup,home_team,away_team,home_shirtnumber,home_nationality,home_position,home_age,home_minutes,home_goals,home_assists,home_pens_made,home_pens_att,home_shots,home_shots_on_target,home_cards_yellow,home_cards_red,home_touches,home_tackles,home_interceptions,home_blocks,home_xg,home_npxg,home_xg_assist,home_sca,home_gca,home_passes_completed,home_passes,home_passes_pct,home_progressive_passes,home_carries,home_progressive_carries,home_take_ons,home_take_ons_won,home_passes_total_distance,home_passes_progressive_distance,home_passes_completed_short,home_passes_short,home_passes_pct_short,home_passes_completed_medium,home_passes_medium,home_passes_pct_medium,home_passes_completed_long,home_passes_long,home_passes_pct_long,home_pass_xa,home_assisted_shots,home_passes_into_final_third,home_passes_into_penalty_area,home_crosses_into_penalty_area,home_passes_live,home_passes_dead,home_passes_free_kicks,home_through_balls,home_passes_switches,home_crosses,home_throw_ins,home_corner_kicks,home_corner_kicks_in,home_corner_kicks_out,home_corner_kicks_straight,home_passes_offsides,home_passes_blocked,home_tackles_won,home_tackles_def_3rd,home_tackles_mid_3rd,home_tackles_att_3rd,home_challenge_tackles,home_challenges,home_challenge_tackles_pct,home_challenges_lost,home_blocked_shots,home_blocked_passes,home_tackles_interceptions,home_clearances,home_errors,home_touches_def_pen_area,home_touches_def_3rd,home_touches_mid_3rd,home_touches_att_3rd,home_touches_att_pen_area,home_touches_live_ball,home_take_ons_won_pct,home_take_ons_tackled,home_take_ons_tackled_pct,home_carries_distance,home_carries_progressive_distance,home_carries_into_final_third,home_carries_into_penalty_area,home_miscontrols,home_dispossessed,home_passes_received,home_progressive_passes_received,home_cards_yellow_red,home_fouls,home_fouled,home_offsides,home_pens_won,home_pens_conceded,home_own_goals,home_ball_recoveries,home_aerials_won,home_aerials_lost,home_aerials_won_pct,away_shirtnumber,away_nationality,away_position,away_age,away_minutes,away_goals,away_assists,away_pens_made,away_pens_att,away_shots,away_shots_on_target,away_cards_yellow,away_cards_red,away_touches,away_tackles,away_interceptions,away_blocks,away_xg,away_npxg,away_xg_assist,away_sca,away_gca,away_passes_completed,away_passes,away_passes_pct,away_progressive_passes,away_carries,away_progressive_carries,away_take_ons,away_take_ons_won,away_passes_total_distance,away_passes_progressive_distance,away_passes_completed_short,away_passes_short,away_passes_pct_short,away_passes_completed_medium,away_passes_medium,away_passes_pct_medium,away_passes_completed_long,away_passes_long,away_passes_pct_long,away_pass_xa,away_assisted_shots,away_passes_into_final_third,away_passes_into_penalty_area,away_crosses_into_penalty_area,away_passes_live,away_passes_dead,away_passes_free_kicks,away_through_balls,away_passes_switches,away_crosses,away_throw_ins,away_corner_kicks,away_corner_kicks_in,away_corner_kicks_out,away_corner_kicks_straight,away_passes_offsides,away_passes_blocked,away_tackles_won,away_tackles_def_3rd,away_tackles_mid_3rd,away_tackles_att_3rd,away_challenge_tackles,away_challenges,away_challenge_tackles_pct,away_challenges_lost,away_blocked_shots,away_blocked_passes,away_tackles_interceptions,away_clearances,away_errors,away_touches_def_pen_area,away_touches_def_3rd,away_touches_mid_3rd,away_touches_att_3rd,away_touches_att_pen_area,away_touches_live_ball,away_take_ons_won_pct,away_take_ons_tackled,away_take_ons_tackled_pct,away_carries_distance,away_carries_progressive_distance,away_carries_into_final_third,away_carries_into_penalty_area,away_miscontrols,away_dispossessed,away_passes_received,away_progressive_passes_received,away_cards_yellow_red,away_fouls,away_fouled,away_offsides,away_pens_won,away_pens_conceded,away_own_goals,away_ball_recoveries,away_aerials_won,away_aerials_lost,away_aerials_won_pct
2024-2025,2024-08-16,20:00,1,73297,Robert Jones,Erik ten Hag,Marco Silva,Bruno Fernandes,Bernd Leno,4-2-3-1,4-2-3-1,0.55,0.45,"['André Onana', 'Noussair Mazraoui', 'Harry Maguire', 'Lisandro Martínez', 'Mason Mount', 'Bruno Fernandes', 'Marcus Rashford', 'Amad Diallo', 'Casemiro', 'Diogo Dalot', 'Kobbie Mainoo', 'Altay Bayındır', 'Matthijs de Ligt', 'Joshua Zirkzee', 'Christian Eriksen', 'Alejandro Garnacho', 'Antony', 'Jonny Evans', 'Scott McTominay', 'Toby Collyer']","['André Onana', 'Noussair Mazraoui', 'Harry Maguire', 'Lisandro Martínez', 'Mason Mount', 'Bruno Fernandes', 'Marcus Rashford', 'Amad Diallo', 'Casemiro', 'Diogo Dalot', 'Kobbie Mainoo', 'Altay Bayındır', 'Matthijs de Ligt', 'Joshua Zirkzee', 'Christian Eriksen', 'Alejandro Garnacho', 'Antony', 'Jonny Evans', 'Scott McTominay', 'Toby Collyer']",Manchester United,Fulham,,,,,990,1,1,0,0,14,5,2,0,640,21,19,11,2.4,2.4,2.0,24,2,430,524,82.1,43,420,15,21,8,6600,2181,207,231,89.6,158,188,84.0,32,54,59.3,1.0,10,31,7,2,483,38,9,1,2,18,15,7,3,2,0,3,7,14,9,9,3,12,20,60.0,8,3,8,40,22,0,67,170,292,183,22,640,38.1,11,52.4,2298,1138,18,4,10,13,428,43,0,12,10,3,0,0,0,58,19,16,54.3,,,,,990,0,0,0,0,10,2,3,0,540,24,9,9,0.4,0.4,0.4,19,0,329,424,77.6,28,329,17,22,8,5642,2143,131,155,84.5,154,183,84.2,29,58,50.0,0.5,9,20,4,1,372,51,16,2,0,21,15,8,6,2,0,1,10,17,12,11,1,11,19,57.9,8,2,7,33,18,2,75,223,212,117,21,540,36.4,12,54.5,1746,927,19,7,17,9,322,28,0,10,11,1,0,0,0,53,16,19,45.7
2024-2025,2024-08-17,12:30,1,30014,Tim Robinson,Kieran McKenna,Arne Slot,Sam Morsy,Virgil van Dijk,4-2-3-1,4-2-3-1,0.38,0.62,"['Christian Walton', 'Leif Davis', 'Sam Morsy', 'Luke Woolfenden', 'Wes Burns', 'Conor Chaplin', 'Liam Delap', 'Omari Hutchinson', 'Jacob Greaves', 'Massimo Luongo', 'Axel Tuanzebe', 'Cieran Slicker', 'Kalvin Phillips', 'Marcus Harness', 'Jack Taylor', 'Cameron Burgess', 'Ali Al Hamadi', 'Ben Johnson', 'Conor Townsend', 'Sammie Szmodics']","['Christian Walton', 'Leif Davis', 'Sam Morsy', 'Luke Woolfenden', 'Wes Burns', 'Conor Chaplin', 'Liam Delap', 'Omari Hutchinson', 'Jacob Greaves', 'Massimo Luongo', 'Axel Tuanzebe', 'Cieran Slicker', 'Kalvin Phillips', 'Marcus Harness', 'Jack Taylor', 'Cameron Burgess', 'Ali Al Hamadi', 'Ben Johnson', 'Conor Townsend', 'Sammie Szmodics']",Ipswich Town,Liverpool,,,,,990,0,0,0,0,7,2,3,0,497,20,9,15,0.5,0.5,0.3,12,0,290,381,76.1,21,254,16,10,3,4991,2077,138,152,90.8,114,140,81.4,26,51,51.0,0.2,4,19,5,0,333,43,18,0,2,8,14,2,0,1,0,5,13,10,17,2,1,11,22,50.0,11,6,9,29,28,0,125,244,158,98,16,497,30.0,5,50.0,1365,608,7,5,11,4,286,21,0,9,17,5,0,0,0,36,11,18,37.9,,,,,990,2,1,0,0,18,5,1,0,720,9,5,14,2.6,2.6,2.0,29,4,520,620,83.9,39,407,25,23,11,8751,3005,254,281,90.4,208,231,90.0,46,82,56.1,2.4,12,35,10,1,567,53,14,6,4,23,24,10,8,1,0,0,9,4,4,2,3,5,8,62.5,3,2,12,14,17,1,83,275,252,200,46,720,47.8,11,47.8,1886,974,13,12,9,9,514,38,0,18,8,0,0,0,0,40,18,11,62.1
2024-2025,2024-08-17,15:00,1,52196,Craig Pawson,Eddie Howe,Russell Martin,Bruno Guimarães,Jack Stephens,4-3-3,3-5-2,0.23,0.77,"['Nick Pope', 'Fabian Schär', 'Joelinton', 'Anthony Gordon', 'Alexander Isak', 'Lewis Hall', 'Valentino Livramento', 'Jacob Murphy', 'Dan Burn', 'Sean Longstaff', 'Bruno Guimarães', 'Martin Dúbravka', 'Kieran Trippier', 'Harvey Barnes', 'Matt Targett', 'Emil Krafth', 'William Osula', 'Miguel Almirón', 'Lloyd Kelly', 'Joe Willock']","['Nick Pope', 'Fabian Schär', 'Joelinton', 'Anthony Gordon', 'Alexander Isak', 'Lewis Hall', 'Valentino Livramento', 'Jacob Murphy', 'Dan Burn', 'Sean Longstaff', 'Bruno Guimarães', 'Martin Dúbravka', 'Kieran Trippier', 'Harvey Barnes', 'Matt Targett', 'Emil Krafth', 'William Osula', 'Miguel Almirón', 'Lloyd Kelly', 'Joe Willock']",Newcastle United,Southampton,,,,,927,1,1,0,0,3,1,2,1,317,16,4,24,0.3,0.3,0.3,6,2,128,207,61.8,15,108,8,7,1,2221,1134,72,93,77.4,36,53,67.9,15,50,30.0,0.2,3,6,4,0,163,43,18,0,1,12,11,3,3,0,0,1,6,14,8,7,1,7,13,53.8,6,11,13,20,39,0,84,150,101,72,12,317,14.3,5,71.4,694,373,6,1,10,8,127,15,0,15,16,1,0,0,0,31,7,9,43.8,,,,,990,0,0,0,0,19,3,4,0,788,13,3,8,1.8,1.8,1.5,34,0,604,702,86.0,62,476,31,14,6,9503,2647,323,352,91.8,233,263,88.6,35,54,64.8,1.6,15,58,14,3,650,50,15,1,3,30,18,12,5,2,0,2,17,6,4,3,6,5,6,83.3,1,2,6,16,13,1,51,179,343,270,46,788,42.9,7,50.0,2657,1550,19,9,10,9,597,61,0,16,15,2,0,0,0,35,9,7,56.3
2024-2025,2024-08-17,15:00,1,29763,Michael Oliver,Nuno Espírito Santo,Andoni Iraola,Morgan Gibbs-White,Neto,4-2-3-1,4-2-3-1,0.53,0.47,"['Matz Sels', 'Murillo', 'Ibrahim Sangaré', 'Neco Williams', 'Morgan Gibbs-White', 'Chris Wood', 'Callum Hudson-Odoi', 'Anthony Elanga', 'Danilo', 'Willy Boly', 'Ola Aina', 'Carlos Miguel', 'Elliot Anderson', 'Taiwo Awoniyi', 'Andrew Omobamidele', 'Harry Toffolo', 'Nicolás Domínguez', 'Eric da Silva Moreira', 'Jota Silva', 'Ryan Yates']","['Matz Sels', 'Murillo', 'Ibrahim Sangaré', 'Neco Williams', 'Morgan Gibbs-White', 'Chris Wood', 'Callum Hudson-Odoi', 'Anthony Elanga', 'Danilo', 'Willy Boly', 'Ola Aina', 'Carlos Miguel', 'Elliot Anderson', 'Taiwo Awoniyi', 'Andrew Omobamidele', 'Harry Toffolo', 'Nicolás Domínguez', 'Eric da Silva Moreira', 'Jota Silva', 'Ryan Yates']",Nottingham Forest,Bournemouth,,,,,990,1,0,0,0,14,8,1,0,677,24,7,12,1.4,1.4,0.5,26,1,420,543,77.3,37,299,18,23,9,6760,2706,226,259,87.3,147,184,79.9,30,63,47.6,0.8,11,24,11,2,490,52,12,1,0,13,23,2,2,0,0,1,12,12,11,11,2,10,15,66.7,5,3,9,31,26,0,87,204,277,206,28,677,39.1,10,43.5,1594,936,17,3,12,8,410,35,0,17,8,1,0,0,0,49,25,15,62.5,,,,,990,1,0,0,0,13,4,3,0,628,18,14,13,1.2,1.2,0.5,24,2,363,485,74.8,49,327,18,20,5,6628,2447,153,177,86.4,166,197,84.3,39,85,45.9,0.5,7,33,6,0,433,48,16,0,3,25,18,6,4,0,0,4,11,7,8,7,3,10,19,52.6,9,3,10,32,29,1,71,201,274,160,22,628,25.0,10,50.0,1992,1085,12,5,8,14,359,49,0,8,17,4,0,0,0,57,15,25,37.5
2024-2025,2024-08-17,15:00,1,39217,Simon Hooper,Sean Dyche,Fabian Hürzeler,James Tarkowski,Lewis Dunk,4-2-3-1,4-2-3-1,0.4,0.6,"['Jordan Pickford', 'Michael Keane', 'James Tarkowski', 'Dwight McNeil', 'Dominic Calvert-Lewin', 'Jack Harrison', 'Abdoulaye Doucouré', 'Ashley Young', 'Vitaliy Mykolenko', 'Idrissa Gana Gueye', 'Tim Iroegbunam', 'João Virgínia', 'Mason Holgate', 'Iliman Ndiaye', 'Beto', ""Jake O'Brien"", 'Neal Maupay', 'Jesper Lindstrøm', 'Jenson Metcalfe', 'Harrison Armstrong']","['Jordan Pickford', 'Michael Keane', 'James Tarkowski', 'Dwight McNeil', 'Dominic Calvert-Lewin', 'Jack Harrison', 'Abdoulaye Doucouré', 'Ashley Young', 'Vitaliy Mykolenko', 'Idrissa Gana Gueye', 'Tim Iroegbunam', 'João Virgínia', 'Mason Holgate', 'Iliman Ndiaye', 'Beto', ""Jake O'Brien"", 'Neal Maupay', 'Jesper Lindstrøm', 'Jenson Metcalfe', 'Harrison Armstrong']",Everton,Brighton & Hove Albion,,,,,965,0,0,0,0,9,1,1,1,499,23,13,12,0.5,0.5,0.2,15,0,298,399,74.7,29,263,12,16,5,6517,2622,109,130,83.8,120,143,83.9,59,97,60.8,0.7,4,32,6,1,347,45,9,0,8,17,27,1,0,1,0,7,7,11,10,7,6,12,18,66.7,6,2,10,36,11,1,52,160,238,105,18,499,31.3,11,68.8,1352,592,6,4,13,10,291,27,0,8,8,7,0,0,0,45,18,13,58.1,,,,,990,3,3,0,0,10,5,1,0,711,21,8,11,1.4,1.4,1.4,19,5,510,605,84.3,38,456,18,18,6,8272,3083,259,285,90.9,205,231,88.7,35,63,55.6,1.0,10,20,7,1,557,47,15,1,4,14,14,5,2,2,0,1,10,13,6,10,5,11,16,68.8,5,4,7,29,18,1,102,311,281,125,26,711,33.3,12,66.7,2515,1309,14,11,15,11,504,38,0,8,8,1,0,0,0,43,13,18,41.9
2024-2025,2024-08-17,15:00,1,60261,Jarred Gillett,Mikel Arteta,Gary O'Neil,Martin Ødegaard,Mario Lemina,4-3-3,4-2-3-1,0.53,0.47,"['David Raya', 'William Saliba', 'Ben White', 'Thomas Partey', 'Gabriel Magalhães', 'Bukayo Saka', 'Martin Ødegaard', 'Gabriel Martinelli', 'Oleksandr Zinchenko', 'Kai Havertz', 'Declan Rice', 'Aaron Ramsdale', 'Gabriel Jesus', 'Jurriën Timber', 'Eddie Nketiah', 'Leandro Trossard', 'Jorginho', 'Reiss Nelson', 'Riccardo Calafiori', 'Ethan Nwaneri']","['David Raya', 'William Saliba', 'Ben White', 'Thomas Partey', 'Gabriel Magalhães', 'Bukayo Saka', 'Martin Ødegaard', 'Gabriel Martinelli', 'Oleksandr Zinchenko', 'Kai Havertz', 'Declan Rice', 'Aaron Ramsdale', 'Gabriel Jesus', 'Jurriën Timber', 'Eddie Nketiah', 'Leandro Trossard', 'Jorginho', 'Reiss Nelson', 'Riccardo Calafiori', 'Ethan Nwaneri']",Arsenal,Wolverhampton Wanderers,,,,,990,2,2,0,0,18,6,2,0,569,18,8,6,1.2,1.2,1.2,35,4,382,458,83.4,53,340,18,22,9,6872,2400,163,184,88.6,190,213,89.2,28,51,54.9,0.9,17,24,17,2,410,48,15,0,4,15,18,8,6,0,0,0,7,13,9,6,3,8,16,50.0,8,1,5,26,16,2,63,190,229,156,42,569,40.9,10,45.5,1745,749,8,10,13,9,376,52,0,17,14,0,0,0,0,30,17,13,56.7,,,,,990,0,0,0,0,9,3,2,0,493,19,7,13,0.5,0.5,0.2,13,0,324,406,79.8,24,306,12,18,8,5925,2051,143,167,85.6,149,165,90.3,29,61,47.5,0.3,4,39,5,4,361,44,16,1,1,14,15,2,1,1,0,1,6,12,15,3,1,10,19,52.6,9,6,7,26,13,0,68,179,209,112,16,493,44.4,8,44.4,1620,738,8,6,16,10,318,24,0,14,17,1,0,0,0,36,13,17,43.3
2024-2025,2024-08-17,17:30,1,62463,Tony Harrington,Lopetegui,Unai Emery,Jarrod Bowen,John McGinn,4-1-4-1,4-2-3-1,0.52,0.48,"['Alphonse Areola', 'Vladimír Coufal', 'Michail Antonio', 'Lucas Paquetá', 'Mohammed Kudus', 'Konstantinos Mavropanos', 'Jarrod Bowen', 'Guido Rodríguez', 'Max Kilman', 'Tomáš Souček', 'Emerson Palmieri', 'Łukasz Fabiański', 'Aaron Cresswell', 'Crysencio Summerville', 'James Ward-Prowse', 'Niclas Füllkrug', 'Danny Ings', 'Jean-Clair Todibo', 'Aaron Wan-Bissaka', 'Andy Irving']","['Alphonse Areola', 'Vladimír Coufal', 'Michail Antonio', 'Lucas Paquetá', 'Mohammed Kudus', 'Konstantinos Mavropanos', 'Jarrod Bowen', 'Guido Rodríguez', 'Max Kilman', 'Tomáš Souček', 'Emerson Palmieri', 'Łukasz Fabiański', 'Aaron Cresswell', 'Crysencio Summerville', 'James Ward-Prowse', 'Niclas Füllkrug', 'Danny Ings', 'Jean-Clair Todibo', 'Aaron Wan-Bissaka', 'Andy Irving']",West Ham United,Aston Villa,,,,,990,1,0,1,1,13,2,1,0,571,14,6,14,2.3,1.5,1.1,26,2,377,464,81.3,30,327,20,11,4,6787,2273,164,177,92.7,157,185,84.9,45,75,60.0,1.1,10,20,9,3,423,40,11,0,4,25,14,5,4,1,0,1,11,10,9,5,0,7,15,46.7,8,6,8,20,24,0,66,217,253,106,22,570,36.4,6,54.5,1887,988,11,6,16,18,372,30,0,18,11,1,1,0,0,39,14,12,53.8,,,,,990,2,2,0,0,15,3,2,0,561,24,7,13,2.0,2.0,1.7,23,3,348,433,80.4,25,310,23,15,8,6106,2145,154,170,90.6,160,185,86.5,27,57,47.4,0.9,12,28,6,0,383,49,19,4,1,15,19,3,3,0,0,1,11,15,8,13,3,6,10,60.0,4,4,9,31,22,0,67,192,237,139,21,561,53.3,7,46.7,1892,1152,12,4,15,7,344,25,0,11,18,1,0,1,0,38,12,14,46.2
2024-2025,2024-08-18,14:00,1,16988,Samuel Barrott,Thomas Frank,Oliver Glasner,Christian Nørgaard,Marc Guéhi,4-3-3,3-4-3,0.46,0.54,"['Mark Flekken', 'Ethan Pinnock', 'Christian Nørgaard', 'Kevin Schade', 'Mathias Jensen', 'Yoane Wissa', 'Bryan Mbeumo', 'Kristoffer Ajer', 'Nathan Collins', 'Vitaly Janelt', 'Mads Roerslev', 'Hákon Rafn Valdimarsson', 'Fabio Carvalho', 'Frank Onyeka', 'Ben Mee', 'Yehor Yarmoliuk', 'Keane Lewis-Potter', 'Mikkel Damsgaard', 'Myles Peart-Harris', 'Ryan Trevitt']","['Mark Flekken', 'Ethan Pinnock', 'Christian Nørgaard', 'Kevin Schade', 'Mathias Jensen', 'Yoane Wissa', 'Bryan Mbeumo', 'Kristoffer Ajer', 'Nathan Collins', 'Vitaly Janelt', 'Mads Roerslev', 'Hákon Rafn Valdimarsson', 'Fabio Carvalho', 'Frank Onyeka', 'Ben Mee', 'Yehor Yarmoliuk', 'Keane Lewis-Potter', 'Mikkel Damsgaard', 'Myles Peart-Harris', 'Ryan Trevitt']",Brentford,Crystal Palace,,,,,990,2,1,0,0,9,5,1,0,542,19,11,13,1.8,1.8,0.6,15,3,331,440,75.2,31,318,16,16,5,6367,2592,136,164,82.9,142,179,79.3,47,75,62.7,0.6,7,22,4,3,394,45,17,2,3,17,14,4,3,0,0,1,9,10,5,10,4,14,17,82.4,3,4,9,30,20,0,87,222,214,114,12,542,31.3,8,50.0,1617,814,12,3,9,14,325,31,0,6,15,1,0,0,1,47,19,14,57.6,,,,,990,0,0,0,0,14,6,5,0,640,22,5,10,1.2,1.2,0.8,23,0,410,519,79.0,32,316,14,18,3,6630,2142,212,233,91.0,155,189,82.0,30,65,46.2,0.6,9,36,7,1,472,44,6,2,1,14,18,7,3,0,0,3,8,13,5,12,5,8,13,61.5,5,1,9,27,29,1,55,154,344,148,20,640,16.7,14,77.8,1388,807,16,5,9,5,409,31,0,15,6,3,0,0,0,49,14,19,42.4
2024-2025,2024-08-18,16:30,1,39818,Anthony Taylor,Enzo Maresca,Pep Guardiola,Enzo Fernández,Kevin De Bruyne,4-2-3-1,3-2-4-1,0.48,0.52,"['Robert Sánchez', 'Marc Cucurella', 'Levi Colwill', 'Enzo Fernández', 'Nicolas Jackson', 'Christopher Nkunku', 'Cole Palmer', 'Moisés Caicedo', 'Malo Gusto', 'Wesley Fofana', 'Roméo Lavia', 'Filip Jørgensen', 'Tosin Adarabioyo', 'Benoît Badiashile', 'Mykhailo Mudryk', 'Noni Madueke', 'Pedro Neto', 'Kiernan Dewsbury-Hall', 'Marc Guiu', 'Renato Veiga']","['Robert Sánchez', 'Marc Cucurella', 'Levi Colwill', 'Enzo Fernández', 'Nicolas Jackson', 'Christopher Nkunku', 'Cole Palmer', 'Moisés Caicedo', 'Malo Gusto', 'Wesley Fofana', 'Roméo Lavia', 'Filip Jørgensen', 'Tosin Adarabioyo', 'Benoît Badiashile', 'Mykhailo Mudryk', 'Noni Madueke', 'Pedro Neto', 'Kiernan Dewsbury-Hall', 'Marc Guiu', 'Renato Veiga']",Chelsea,Manchester City,,,,,990,0,0,0,0,10,3,1,0,629,20,10,10,1.0,1.0,1.0,20,0,461,531,86.8,26,370,16,11,4,7768,2625,223,244,91.4,204,222,91.9,29,53,54.7,0.9,9,34,11,5,489,40,10,2,2,18,17,4,3,0,0,2,3,14,7,9,4,8,23,34.8,15,3,7,30,13,1,64,195,259,175,24,629,36.4,7,63.6,1673,827,6,2,10,9,459,26,0,12,9,2,0,0,0,43,3,5,37.5,,,,,990,2,1,0,0,11,5,1,0,664,16,10,6,0.8,0.8,0.6,19,3,501,570,87.9,32,385,41,30,15,8217,2491,256,281,91.1,216,229,94.3,27,46,58.7,0.9,8,29,6,0,528,41,14,2,1,11,18,3,2,0,0,1,7,9,10,4,2,7,11,63.6,4,4,2,26,18,0,76,238,261,178,24,664,50.0,8,26.7,2736,1620,31,13,8,12,496,32,0,9,12,1,0,0,0,41,5,3,62.5
2024-2025,2024-08-19,20:00,1,31977,Chris Kavanagh,Steve Cooper,Ange Postecoglou,Jamie Vardy,Son Heung-min,4-2-3-1,4-3-3,0.3,0.7,"['Mads Hermansen', 'James Justin', 'Wout Faes', 'Wilfred Ndidi', 'Abdul Fatawu Issahaku', 'Harry Winks', 'Jamie Vardy', 'Bobby Reid', 'Victor Bernth Kristiansen', 'Jannik Vestergaard', 'Facundo Buonanotte', 'Danny Ward', 'Caleb Okoli', 'Stephy Mavididi', 'Hamza Choudhury', 'Ricardo Pereira', 'Boubakary Soumaré', 'Benjamin Nelson', 'Thomas Cannon', 'Kasey McAteer']","['Mads Hermansen', 'James Justin', 'Wout Faes', 'Wilfred Ndidi', 'Abdul Fatawu Issahaku', 'Harry Winks', 'Jamie Vardy', 'Bobby Reid', 'Victor Bernth Kristiansen', 'Jannik Vestergaard', 'Facundo Buonanotte', 'Danny Ward', 'Caleb Okoli', 'Stephy Mavididi', 'Hamza Choudhury', 'Ricardo Pereira', 'Boubakary Soumaré', 'Benjamin Nelson', 'Thomas Cannon', 'Kasey McAteer']",Leicester City,Tottenham Hotspur,,,,,990,1,1,0,0,7,3,1,0,454,22,10,20,1.0,1.0,0.9,13,2,237,313,75.7,23,212,12,19,7,4016,1704,125,145,86.2,91,105,86.7,16,49,32.7,1.0,5,20,7,4,272,39,13,3,1,15,16,2,0,2,0,2,5,15,16,3,3,11,24,45.8,13,6,14,32,42,0,89,216,171,73,10,454,36.8,9,47.4,1128,483,5,2,14,14,235,23,0,11,12,2,0,0,0,37,8,9,47.1,,,,,990,1,1,0,0,15,6,1,0,840,23,6,8,1.2,1.2,1.1,30,2,631,724,87.2,69,465,24,26,13,10258,3287,305,332,91.9,274,301,91.0,36,54,66.7,2.4,12,59,19,5,671,52,13,2,3,28,18,13,5,3,0,1,18,13,5,11,7,9,16,56.3,7,1,7,29,16,0,44,175,380,291,58,840,50.0,11,42.3,2247,1160,13,12,14,11,627,69,0,12,11,1,0,0,0,45,9,8,52.9
